Sewa Apartemen Taman Melati Surabaya - Modern Stylish Studio at Taman Melati Surabaya Apartment By Travelio,Lokasi,Jenis Unit,Jumlah Bedroom,Luas Unit,Kelengkapan,Lantai Unit,Kamar Mandi,Harga,Jarak dari Kampus (km),Jarak dari Bandara (km),Jarak dari Stasiun (km),Jarak dari Terminal (km),Jarak dari Tol (km),Aksesbilitas,Link URL
1,Mulyorejo,studioroom,1,24.73,Full Furnished,18,1,"Rp4,196,664",3.2,21.5,5.5,15.3,10.2,"21.5 Km dari Bandara Internasional Juanda, 5.5 km dari Stasiun Gubeng, 3.2 km dari Institut Teknologi Sepuluh Nopember, 2.9 km dari Rumah Sakit Umum Haji Surabaya",https://www.travelio.com/property/surabaya/modern-stylish-studio-at-taman-melati-surabaya-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=00
2,Wiyung,studioroom,1,21.32,Full Furnished,7,1,"Rp3,210,418",4.8,21.4,11.4,6,2.3,"21.4 Km dari Bandara Internasional Juanda, 2.3 km dari Gerbang Tol Gunung Sari 2, 11.4 km dari Stasiun Gubeng, 6 km dari Terminal Joyoboyo, 4 km dari Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari dan Rumah Umum Sakit Wijaya 2.3 km. 4.8 km dari Universitas Negeri Surabaya",https://www.travelio.com/property/surabaya/cozy-living-studio-at-puncak-cbd-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
3,Gunung Anyar,studioroom,1,33,Full Furnished,4,1,"Rp4,012,413",5.6,8.5,14.9,11.4,12.7,Bandara Udara Juanda dapat ditempuh selama 14 menit berkendara (8.5 km); Stasiun Surabaya Gubeng 39 menit berkendara (14.9 km); Stasiun Surabaya Kota 46 menit berkendara (26.7 km): Gerbang Tol Waru hanya 22 menit berkendara (12.7 km); Universitas Kristen Petra 19 menit berkendara (5.6 km),https://www.travelio.com/property/surabaya/modern-1br-apartment-at-menara-rungkut-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=1%20Bedroom&roomBreakfast=0
4,Mulyorejo,2 BR,3,38,Full Furnished,26,1,"Rp5,095,251",2.4,22.4,9.2,20.7,12.6,"22.4 km dari  Bandara Internasional Juanda, 9.2 km dari Stasiun Gubeng , 11.9 km dari Stasiun Pasar Turi, 7.7 km dari Universitas Airlangga, 2.4 km dari  Institut Teknologi Sepuluh Nopember (ITS) ",https://www.travelio.com/property/surabaya/best-choice-2br-apartment-at-educity-surabaya-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
5,Genteng,studioroom,1,59,Full Furnished,25,1,"Rp8,294,000",4.4,20.8,4.1,10.8,7.4,"20.8 km dari Bandara Internasional Juanda, 4.1 km dari Stasiun Surabaya Pasar Turi, 4.5 km dari Rumah Sakit Umum Dr. Soetomo, 4,4 km dari Universitas Airlangga Kampus A, 6.7 km dari Institut Teknologi Sepuluh Nopember (ITS)",https://www.travelio.com/property/surabaya/best-location-and-comfy-1br-at-praxis-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=1%20Bedrooms&roomBreakfast=0
6,Mulyorejo,studioroom,1,20,Full Furnished,25,1,"Rp3,960,787",2.4,22.4,9.2,20.7,12.6,"22.4 km dari  Bandara Internasional Juanda, 11,9 km dari Stasiun Pasar Turi, 7.7 km dari  Universitas Airlangga, 2,4 km dari Institut Teknologi Sepuluh Nopember (ITS)",https://www.travelio.com/property/surabaya/modern-and-relaxing-studio-apartment-at-educity-surabaya-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
7,Dukuh Pakis,studioroom,1,36,Full Furnished,2,1,"Rp3,703,895",3.6,24.3,9.8,14.4,2.5,"24.3 km dari  Bandara Internasional Juanda, Mpu Tantular Museum, 26.2 km, 3.6 km dari  Universitas Wijaya Kusuma, 6.2 km dari  Rumah Sakit RKZ Surabaya ",https://www.travelio.com/property/surabaya/best-value-studio-room-apartment-at-puncak-permai-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
8,Sukolilo,studioroom,1,22,Full Furnished,11,1,"Rp3,364,938",1.2,19.3,6.6,16.4,8.2,Bandara Internasional Juanda berjarak 30 menit berkendara (19.3 km). Stasiun Surabaya Gubeng berjarak 18 menit berkendara (6.6 km). Institut Teknologi Sepuluh Nopember (ITS) berjarak 3 menit berkendara (1.2 km). Universitas Airlangga Kampus C berjarak 9 menit berkendara (4.1 km). Rumah Sakit Umum Haji Surabaya berjarak 5 menit berkendara (2.2 km).,https://www.travelio.com/property/surabaya/modern-and-simply-studio-apartment-at-puncak-kertajaya-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
9,Mulyorejo,2 BR,2,35.21,Full Furnished,39,1,"Rp4,731,680",1,18.1,5.6,6,10,"Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (18.1 km); 3 menit berkendara ke Universitas Airlangga, Kampus C (1 km); 4 menit berkendara menuju Rumah Sakit Mitra Keluarga Kenjeran (1.8 km); 16 menit berkendara ke Stasiun Sidotopo (5.6 km); dan Airlangga Convention Center berjarak 3 menit berkendara (1.1 km)",https://www.travelio.com/property/surabaya/best-deals-and-comfy-2br-at-puncak-dharmahusada-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
10,Mulyorejo,3 BR,2,35.21,Full Furnished,39,1,"Rp4,731,680",1,18.1,5.6,6,10,"Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (18.1 km); 3 menit berkendara ke Universitas Airlangga, Kampus C (1 km); 4 menit berkendara menuju Rumah Sakit Mitra Keluarga Kenjeran (1.8 km); 16 menit berkendara ke Stasiun Sidotopo (5.6 km); dan Airlangga Convention Center berjarak 3 menit berkendara (1.1 km)",https://www.travelio.com/property/surabaya/best-deal-2br-at-puncak-dharmahusada-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
11,Wiyung,studioroom,2,21.32,Full Furnished,30,1,"Rp2,964,156",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/modern-and-homey-studio-apartment-at-30th-floor-puncak-cbd-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
12,Wiyung,studioroom,1,21.32,Full Furnished,32,1,"Rp3,180,174",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/new-and-modern-studio-at-puncak-cbd-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
13,Wiyung,studioroom,1,21.32,Full Furnished,51,1,"Rp2,897,918",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/cozy-studio-at-puncak-cbd-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
14,Wiyung,studioroom,2,21,Full Furnished,8,1,"Rp3,024,373",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/chic-and-modern-designed-studio-apartment-at-puncak-cbd-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
15,Wiyung,studioroom,1,22,Full Furnished,32,1,"Rp2,910,922",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/lavish-studio-room-at-puncak-cbd-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
16,Wiyung,studioroom,1,21.32,Full Furnished,26,1,"Rp2,915,418",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/modern-and-cozy-living-studio-apartment-at-puncak-cbd-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
17,Wiyung,studioroom,1,21.32,Full Furnished,25,1,"Rp2,915,418",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/comfy-designed-studio-at-puncak-cbd-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
18,Wiyung,studioroom,1,21.32,Full Furnished,21,1,"Rp2,915,418",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/cozy-and-clean-studio-apartment-at-puncak-cbd-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
19,Dukuh Pakis,studioroom,1,22,Full Furnished,18,1,"Rp3,262,516",3.6,24.3,9.8,14.4,2.5,"Bandara Internasional Juanda bisa diakses dengan 32 menit berkendara (24,3 km); 39 menit berkendara ke Mpu Tantular Museum (26,2 km); 28 menit berkendara menuju House of Sampoerna (14,2 km); 11 menit berkendara menuju Universitas Wijaya Kusuma (3,6 km); Rumah Sakit RKZ Surabaya Berjarak 20 Menit Berkendara (6,2 km)",https://www.travelio.com/property/surabaya/best-deal-modern-studio-puncak-permai-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
20,Dukuh Pakis,studioroom,1,22,Full Furnished,5,1,"Rp3,273,500",3.6,24.3,9.8,14.4,2.5,"Bandara Internasional Juanda bisa diakses dengan 32 menit berkendara (24,3 km); 39 menit berkendara ke Mpu Tantular Museum (26,2 km); 28 menit berkendara menuju House of Sampoerna (14,2 km); 11 menit berkendara menuju Universitas Wijaya Kusuma (3,6 km); Rumah Sakit RKZ Surabaya Berjarak 20 Menit Berkendara (6,2 km)",https://www.travelio.com/property/surabaya/clean-and-cozy-studio-at-puncak-permai-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
21,Dukuh Pakis,studioroom,1,22,Full Furnished,8,1,"Rp2,978,500",3.6,24.3,9.8,14.4,2.5,"Bandara Internasional Juanda bisa diakses dengan 32 menit berkendara (24,3 km); 39 menit berkendara ke Mpu Tantular Museum (26,2 km); 28 menit berkendara menuju House of Sampoerna (14,2 km); 11 menit berkendara menuju Universitas Wijaya Kusuma (3,6 km); Rumah Sakit RKZ Surabaya Berjarak 20 Menit Berkendara (6,2 km)",https://www.travelio.com/search?searchType=monthly&destinationCategory=City&destinationUrlName=&destinationPlaceId=&destinationCountryId=ID&destinationId=544e13c2f0322dca3e000035&nights=30&flexible=1&destination=Surabaya&checkIn=28-06-2023&checkOut=28-07-2023&months=1&propTypeId=apartment&cbFlexible=on&unitType=3%2C2%2C1%2Cstudio&sellType=Unfurnished%2CFull%2BFurnished&bottomPrice=0&upperPrice=20000000
22,Dukuh Pakis,studioroom,1,22,Full Furnished,17,1,"Rp3,305,788",3.6,24.3,9.8,14.4,2.5,"Bandara Internasional Juanda bisa diakses dengan 32 menit berkendara (24,3 km); 39 menit berkendara ke Mpu Tantular Museum (26,2 km); 28 menit berkendara menuju House of Sampoerna (14,2 km); 11 menit berkendara menuju Universitas Wijaya Kusuma (3,6 km); Rumah Sakit RKZ Surabaya Berjarak 20 Menit Berkendara (6,2 km)",https://www.travelio.com/property/surabaya/best-studio-apartment-at-puncak-permai-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1
23,Gunung Anyar,studioroom,1,21,Full Furnished,16,1,"Rp3,318,067",6.6,11.1,13.5,11,2.8,"Bandara Internasional Juanda bisa diakses dengan 21 menit berkendara (11,1 km); 20 menit berkendara ke Stasiun Surabaya Gubeng (13,5 km); 20 menit berkendara menuju Universitas Petra Christian (6.6 km); 25 menit berkendara ke Universitas Airlangga Kampus B (9.8 km); 34 menit berkendara ke Stadion Gelora 10 November (14 km)",https://www.travelio.com/property/surabaya/calm-and-relaxing-studio-at-puri-mas-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
24,Mulyorejo,studioroom,1,21.32,Full Furnished,39,1,"Rp3,027,113",1,18.1,5.6,6,10,"Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (18.1 km); 3 menit berkendara ke Universitas Airlangga, Kampus C (1 km); 4 menit berkendara menuju Rumah Sakit Mitra Keluarga Kenjeran (1.8 km); 16 menit berkendara ke Stasiun Sidotopo (5.6 km); dan Airlangga Convention Center berjarak 3 menit berkendara (1.1 km)",https://www.travelio.com/property/surabaya/cozy-living-studio-at-puncak-dharmahusada-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
25,Dukuh Pakis,studioroom,1,22,Full Furnished,20,1,"Rp3,323,388",3.6,24.3,9.8,14.4,2.5,"Bandara Internasional Juanda bisa diakses dengan 29 menit berkendara (24,4 km); 28 menit berkendara ke Stasiun Gubeng (11,9 km); dan 19 menit berkendara  menuju Terminal Surabaya (9,7 km). RS Mitra Keluarga Surabaya berjarak 6 menit berkendara (2 km). Pasar Modern Puncak Permai dapat dijangkau dengan 3 menit berkendara (300 m)",https://www.travelio.com/property/surabaya/strategic-studio-apartment-at-puncak-permai-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1
26,Dukuh Pakis,studioroom,1,22,Full Furnished,16,1,"Rp3,327,860",3.6,24.3,9.8,14.4,2.5,"Bandara Internasional Juanda bisa diakses dengan 32 menit berkendara (24,3 km); 39 menit berkendara ke Mpu Tantular Museum (26,2 km); 28 menit berkendara menuju House of Sampoerna (14,2 km); 11 menit berkendara menuju Universitas Wijaya Kusuma (3,6 km); Rumah Sakit RKZ Surabaya Berjarak 20 Menit Berkendara (6,2 km).",https://www.travelio.com/property/surabaya/cozy-stay-studio-at-puncak-permai-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
27,Gunung Anyar,studioroom,1,21,Full Furnished,10,1,"Rp3,336,618",6.6,11.1,13.5,11,2.8,"Bandara Internasional Juanda bisa diakses dengan 21 menit berkendara (11,1 km); 20 menit berkendara ke Stasiun Surabaya Gubeng (13,5 km); 20 menit berkendara menuju Universitas Petra Christian (6.6 km); 25 menit berkendara ke Universitas Airlangga Kampus B (9.8 km); 34 menit berkendara ke Stadion Gelora 10 November (14 km)",https://www.travelio.com/property/surabaya/compact-and-comfy-studio-at-puri-mas-apartment-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
28,Sukolilo,studioroom,1,37,Full Furnished,21,1,"Rp3,338,813",3.1,18.8,9.8,18.8,10.6,Bandara Internasional Juanda bisa diakses dengan berkendara selama 40 menit (18.8 km); 11 menit berkendara menuju Institut Teknologi Sepuluh Nopember (3.1 km); 17 menit berkendara ke Universitas Airlangga Kampus C (5.1 km); Rumah Sakit Umum Haji Surabaya berjarak 14 menit berkendara (4.7 km),https://www.travelio.com/property/surabaya/homey-studio-apartment-at-dian-regency-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
29,Mulyorejo,studioroom,1,21,Full Furnished,9,1,"Rp3,045,700",1,18.1,5.6,6,10,"Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (18.1 km); 3 menit berkendara ke Universitas Airlangga, Kampus C (1 km); 4 menit berkendara menuju Rumah Sakit Mitra Keluarga Kenjeran (1.8 km); 16 menit berkendara ke Stasiun Sidotopo (5.6 km); dan Airlangga Convention Center berjarak 3 menit berkendara (1.1 km)",https://www.travelio.com/property/surabaya/best-value-and-clean-studio-apartment-at-puncak-dharmahusada-by-travelio?searchType=monthly&checkIn=28-06-2023&checkOut=28-07-2023&guest=1
